iter	Passed	Remaining
0	3	3768
1	6	3446
2	10	3352
3	13	3364
4	17	3459
5	20	3382
6	23	3360
7	27	3349
8	30	3338
9	33	3321
10	36	3311
11	40	3300
12	43	3289
13	46	3259
14	50	3300
15	53	3295
16	56	3277
17	59	3273
18	62	3244
19	66	3260
20	69	3254
21	73	3267
22	77	3272
23	80	3269
24	83	3259
25	86	3239
26	89	3232
27	92	3226
28	96	3222
29	99	3226
30	103	3221
31	106	3215
32	109	3210
33	113	3211
34	116	3207
35	119	3202
36	122	3192
37	125	3185
38	129	3194
39	133	3194
40	136	3194
41	139	3193
42	143	3204
43	147	3206
44	150	3202
45	154	3207
46	158	3214
47	162	3218
48	165	3214
49	169	3218
50	173	3227
51	176	3226
52	180	3225
53	184	3228
54	187	3226
55	191	3226
56	194	3225
57	198	3226
58	202	3225
59	206	3232
60	210	3233
61	213	3236
62	217	3240
63	221	3235
64	224	3234
65	228	3231
66	232	3235
67	236	3236
68	239	3236
69	243	3238
70	247	3238
71	251	3241
72	255	3242
73	259	3242
74	263	3243
75	266	3245
76	270	3248
77	274	3249
78	310	3621
79	387	4458
80	393	4466
81	400	4479
82	405	4480
83	515	5620
84	523	5636
85	531	5644
86	538	5650
87	545	5650
88	551	5643
89	556	5627
90	562	5614
91	567	5603
92	573	5589
93	578	5578
94	583	5560
95	588	5540
96	595	5542
97	603	5558
98	613	5584
99	621	5592
100	629	5602
101	636	5602
102	646	5628
103	657	5661
104	666	5679
105	673	5677
106	679	5672
107	688	5682
108	695	5682
109	702	5680
110	709	5681
111	715	5673
112	722	5674
113	730	5674
114	737	5674
115	746	5686
116	753	5683
117	760	5681
118	766	5677
119	772	5668
120	778	5658
121	784	5647
122	791	5641
123	797	5637
124	804	5633
125	811	5629
126	818	5627
127	824	5618
128	830	5610
129	840	5621
130	847	5619
131	854	5616
132	860	5611
133	868	5610
134	873	5598
135	880	5592
136	884	5570
137	889	5558
138	896	5555
139	903	5551
140	911	5554
141	918	5547
142	923	5536
