iter	MAE
0	1033.894465
1	983.0252224
2	940.1303944
3	898.0179895
4	857.523442
5	819.1252971
6	783.4587163
7	750.3927623
8	722.4021953
9	699.4826313
10	674.2096764
11	650.1206421
12	628.9128283
13	608.5180588
14	589.1444853
15	571.3103899
16	555.1104647
17	539.6115639
18	526.1648829
19	513.2636921
20	502.0574845
21	491.0353131
22	480.7655113
23	471.6266372
24	463.6990666
25	456.3026313
26	448.6384137
27	442.0305573
28	435.5008197
29	429.3149762
30	423.351282
31	418.1568058
32	413.418459
33	409.2847574
34	405.663908
35	401.8181028
36	397.8757193
37	394.8782972
38	391.7946977
39	388.6154617
40	386.0189767
41	383.4502908
42	381.4203062
43	379.051613
44	376.9265021
45	375.0243246
46	373.2343021
47	371.2953827
48	369.6590885
49	368.1957741
50	366.5498353
51	365.2767394
52	364.1009887
53	363.0796049
54	362.2458249
55	361.1923286
56	360.1366285
57	359.1524803
58	358.1595391
59	357.3842858
60	356.7093245
61	356.0681421
62	355.4013706
63	354.73493
64	354.0562167
65	353.5882215
66	353.1739695
67	352.7191294
68	352.2877704
69	351.9080896
70	351.3702906
71	350.9731122
72	350.5677915
73	350.1828367
74	349.7730792
75	349.295374
76	348.9609498
77	348.6144344
78	348.2437847
79	347.9077321
80	347.6496187
81	347.2529441
82	346.985877
83	346.7307643
84	346.4987116
85	346.3194427
86	346.0445035
87	345.8287689
88	345.553157
89	345.3443205
90	345.0558912
91	344.976576
92	344.8508762
93	344.6533035
94	344.4573757
95	344.2435174
96	344.1085691
97	343.9698582
98	343.8533074
99	343.7583809
100	343.6745289
101	343.4642051
102	343.4065464
103	343.2591892
104	343.1320345
105	342.9656038
106	342.9317917
107	342.7174969
108	342.6374478
109	342.4333823
110	342.2560607
111	342.0638462
112	341.8983431
113	341.7700911
114	341.688852
115	341.5837776
116	341.3773703
117	341.3024366
118	341.1657292
119	341.0854841
120	340.8817833
121	340.8013308
122	340.5990797
123	340.3670311
124	340.2443609
125	340.1721352
126	340.068706
127	339.9854835
128	339.8387949
129	339.735446
130	339.5544275
131	339.4461473
132	339.3927126
133	339.2540463
134	339.1549848
135	338.8785684
136	338.7418182
137	338.5204563
138	338.4048789
139	338.2853739
140	338.1075187
141	338.0639853
142	337.7901516
143	337.453782
144	337.3588951
145	337.2891986
146	337.1988977
147	337.0657417
148	336.9224596
149	336.8438142
150	336.7790392
151	336.6897295
152	336.5744829
153	336.3642401
154	336.2867621
155	336.1728775
156	335.9749986
157	335.8704684
158	335.7936015
159	335.5336567
160	335.4562719
161	335.3172729
162	335.2280268
163	335.0799736
164	334.89258
165	334.6399939
166	334.5104779
167	334.2904599
168	334.1617691
169	333.9788971
170	333.7712554
171	333.6454387
172	333.5031052
173	333.2718194
174	333.1559145
175	333.0214574
176	332.892379
177	332.7630595
178	332.6908954
179	332.5666638
180	332.4501585
181	332.3487433
182	332.2180438
183	332.1207682
184	332.0327806
185	331.9137645
186	331.7457339
187	331.5343063
188	331.4509393
189	331.3001468
190	331.212679
191	331.1442646
192	331.0856717
193	330.8992995
194	330.7008478
195	330.470012
196	330.2802936
197	330.1238963
198	329.9824698
199	329.8364233
200	329.6640891
201	329.5602984
202	329.4749603
203	329.4001313
204	329.2673869
205	329.1618198
206	329.0605068
207	328.819652
208	328.6869368
209	328.5646917
210	328.4403688
211	328.3836157
212	328.3021023
213	328.1613063
214	328.0200891
215	327.9567816
216	327.7832415
217	327.6881611
218	327.6058513
219	327.4776768
220	327.3541353
221	327.1733198
222	327.1055269
223	327.026539
224	326.9431027
225	326.8867614
226	326.8389668
227	326.7278247
228	326.5880067
229	326.5467368
230	326.4734469
231	326.404687
232	326.3240136
233	326.2264174
234	326.1642318
235	326.0833272
236	325.9807707
237	325.9362757
238	325.788616
239	325.6239767
240	325.4610173
241	325.3488038
242	325.2199097
243	325.1155337
244	325.0590255
245	324.9626636
246	324.8851699
247	324.7242213
248	324.591443
249	324.4829544
250	324.4582629
251	324.3961059
252	324.2876528
253	324.2004385
254	324.1647154
255	324.0463341
256	323.9770286
257	323.8938741
258	323.7485398
259	323.6185032
260	323.4931516
261	323.4489688
262	323.3816092
263	323.3577008
264	323.2842876
265	323.2213737
266	323.1194885
267	322.9508902
268	322.8608019
269	322.8137138
270	322.7087403
271	322.6659633
272	322.5947742
273	322.4932423
274	322.4035568
275	322.3380243
276	322.3103267
277	322.2872748
278	322.201355
279	322.1551078
280	322.0188973
281	322.0141043
282	321.9399974
283	321.9001609
284	321.8248446
285	321.7126942
286	321.5864248
287	321.5432276
288	321.4974536
289	321.429958
290	321.4154983
291	321.3997383
292	321.381473
293	321.3592622
294	321.3413918
295	321.2231953
296	321.1744535
297	321.1156381
298	321.0344766
299	320.9841403
300	320.9241147
301	320.8615207
302	320.8405072
303	320.8078375
304	320.7820777
305	320.7438558
306	320.7178633
307	320.6126749
308	320.4981917
309	320.4616651
310	320.396391
311	320.3673635
312	320.3218732
313	320.205442
314	320.1752484
315	320.077542
316	319.9860621
317	319.8920118
318	319.8377565
319	319.7982895
320	319.7011511
321	319.6764478
322	319.6475287
323	319.5417849
324	319.5055928
325	319.4767335
326	319.4394256
327	319.3911586
328	319.3629021
329	319.3435156
330	319.2814358
331	319.2414527
332	319.1761876
333	319.13504
334	319.1257827
335	319.0893227
336	319.0539283
337	319.0341296
338	319.018951
339	318.972086
340	318.9537235
341	318.9335062
342	318.9291148
343	318.9263027
344	318.8921496
345	318.8757365
346	318.8369129
347	318.8127418
348	318.779828
349	318.7327403
350	318.6834293
351	318.6382557
352	318.6208042
353	318.5390983
354	318.488475
355	318.466096
356	318.4392528
357	318.3902348
358	318.2744978
359	318.2186338
360	318.1635837
361	318.1378119
362	318.1050963
363	318.0352002
364	317.9889784
365	317.9768796
366	317.9488563
367	317.9051501
368	317.8722619
369	317.8306162
370	317.8013074
371	317.7512524
372	317.7335143
373	317.719133
374	317.7110285
375	317.7023304
376	317.629362
377	317.5789507
378	317.5656055
379	317.555721
380	317.519394
381	317.4923753
382	317.4905072
383	317.4862532
384	317.4822915
385	317.456511
386	317.4550856
387	317.4415162
388	317.4193856
389	317.3714319
390	317.3106593
391	317.1982196
392	317.1463647
393	317.1298058
394	317.1092906
395	317.0869869
396	317.0468656
397	317.026746
398	317.0204542
399	317.0138459
400	317.0098667
401	316.9444653
402	316.9366254
403	316.9012852
404	316.816701
405	316.7931632
406	316.7062255
407	316.6366329
408	316.5591221
409	316.5415751
410	316.5334527
411	316.5131846
412	316.466916
413	316.4420799
414	316.3872055
415	316.3605996
416	316.3594371
417	316.3484045
418	316.3420959
419	316.3069355
420	316.2954079
421	316.2195377
422	316.1911533
423	316.1761689
424	316.1552406
425	316.0955231
426	316.0458614
427	315.9951097
428	315.9596847
429	315.9205551
430	315.8822
431	315.874117
432	315.8485206
433	315.8122071
434	315.7781961
435	315.73501
436	315.6901772
437	315.6771065
438	315.6119967
439	315.6023434
440	315.6004532
441	315.5871693
442	315.5827141
443	315.5808357
444	315.5198149
445	315.4196751
446	315.4011851
447	315.345996
448	315.3319387
449	315.2398081
450	315.1736392
451	315.1042084
452	314.9930889
453	314.9090941
454	314.8048504
455	314.7017867
456	314.6636596
457	314.6606546
458	314.643001
459	314.6260307
460	314.5887615
461	314.5655841
462	314.54438
463	314.446313
464	314.3584251
465	314.255627
466	314.2455949
467	314.1825139
468	314.1275947
469	314.0882472
470	314.0572341
471	314.0200303
472	313.9976012
473	313.9424581
474	313.8785254
475	313.8654954
476	313.7720182
477	313.7004187
478	313.6897441
479	313.6631789
480	313.647377
481	313.613797
482	313.5256855
483	313.4898484
484	313.4540758
485	313.3638789
486	313.3481533
487	313.3093934
488	313.2672296
489	313.1927862
490	313.1887331
491	313.1798101
492	313.1592777
493	313.1487711
494	313.1033482
495	313.0908709
496	313.0552952
497	313.0304274
498	313.0285115
499	313.023273
500	313.0083385
501	312.955798
502	312.8151501
503	312.744379
504	312.6486631
505	312.5301634
506	312.4974068
507	312.449737
508	312.3807162
509	312.3412365
510	312.3031338
511	312.2876325
512	312.1758805
513	312.0774841
514	312.0407927
515	311.9887475
516	311.9278836
517	311.897694
518	311.8899634
519	311.865043
520	311.8103887
521	311.7369426
522	311.6462277
523	311.5741947
524	311.5083713
525	311.4795543
526	311.4604521
527	311.3973756
528	311.3952678
529	311.3932283
530	311.3800892
531	311.3443382
532	311.2656512
533	311.2157719
534	311.2062863
535	311.145668
536	311.1237388
537	311.1203409
538	311.0909314
539	311.0404059
540	311.0354843
541	310.9961644
542	310.9572591
543	310.8849821
544	310.875428
545	310.8673699
546	310.8442897
547	310.8286463
548	310.7976708
549	310.7579263
550	310.6661587
551	310.6301256
552	310.5834391
553	310.5764365
554	310.5563726
555	310.5550542
556	310.4962833
557	310.4481583
558	310.4467434
559	310.4254636
560	310.4251128
561	310.3978181
562	310.3836236
563	310.3448085
564	310.3160597
565	310.2694584
566	310.2092196
567	310.180312
568	310.1155179
569	310.0830202
570	310.0531565
571	309.9854469
572	309.9649873
573	309.9155111
574	309.864344
575	309.8539781
576	309.7479128
577	309.7247939
578	309.6781221
579	309.6660331
580	309.5953507
581	309.5815942
582	309.5382183
583	309.5115877
584	309.473698
585	309.4274245
586	309.4041776
587	309.3620285
588	309.3362915
589	309.3224367
590	309.2740558
591	309.2658788
592	309.2005841
593	309.1657918
594	309.0920195
595	309.0413289
596	309.0304082
597	309.0171212
598	308.9912601
599	308.9795294
600	308.9772689
601	308.9727567
602	308.9700772
603	308.9642749
604	308.9517484
605	308.9504318
606	308.9491695
607	308.9425953
608	308.9204799
609	308.9166986
610	308.9044957
611	308.8854287
612	308.8688377
613	308.8601686
614	308.857018
615	308.7995531
616	308.7366981
617	308.7084549
618	308.6827873
619	308.6078159
620	308.6015825
621	308.577442
622	308.5393643
623	308.5390525
624	308.5049122
625	308.4939106
626	308.4812353
627	308.453108
628	308.4516218
629	308.4462293
630	308.441841
631	308.4370832
632	308.4304449
633	308.4217124
634	308.4198941
635	308.4064325
636	308.405169
637	308.394558
638	308.3939786
639	308.3901214
640	308.3810506
641	308.3734285
642	308.3722434
643	308.3468463
644	308.3292147
