PassengerId,Name,Sex,Embarked,Age,Age_binned,Pclass,SibSp,Parch,Survival,Cabin,Fare,Fare_binned
1,3,1,2,22.0,20대,3,1,0,사망,8,7.25,1.9
2,4,0,0,38.0,30대,1,1,0,생존,2,71.2833,4.2
3,2,0,2,26.0,20대,3,0,0,생존,8,7.925,2.0
4,4,0,2,35.0,30대,1,1,0,생존,2,53.1,4.0
5,3,1,2,35.0,30대,3,0,0,사망,8,8.05,2.0
6,3,1,1,27.71141959548496,20대,3,0,0,사망,8,8.4583,2.1
7,3,1,2,54.0,50대,1,0,0,사망,4,51.8625,3.9
8,1,1,2,2.0,0대,3,3,1,사망,8,21.075,3.0
9,4,0,2,27.0,20대,3,0,2,생존,8,11.1333,2.3
10,4,0,0,14.0,10대,2,1,0,생존,8,30.0708,3.4
11,2,0,2,4.0,0대,3,1,1,생존,6,16.7,2.8
12,2,0,2,58.0,50대,1,0,0,생존,2,26.55,3.3
13,3,1,2,20.0,10대,3,0,0,사망,8,8.05,2.0
14,3,1,2,39.0,30대,3,1,5,사망,8,31.275,3.4
15,2,0,2,14.0,10대,3,0,0,사망,8,7.8542,2.0
16,4,0,2,55.0,50대,2,0,0,생존,8,16.0,2.8
17,1,1,1,2.0,0대,3,4,1,사망,8,29.125,3.4
18,3,1,2,34.000996155644714,30대,2,0,0,생존,8,13.0,2.5
19,4,0,2,31.0,30대,3,1,0,사망,8,18.0,2.8
20,4,0,0,29.636588350805823,20대,3,0,0,생존,8,7.225,1.9
21,3,1,2,35.0,30대,2,0,0,사망,8,26.0,3.2
22,3,1,2,34.0,30대,2,0,0,생존,3,13.0,2.5
23,2,0,1,15.0,10대,3,0,0,생존,8,8.0292,2.0
24,3,1,2,28.0,20대,1,0,0,생존,0,35.5,3.5
25,2,0,2,8.0,0대,3,3,1,사망,8,21.075,3.0
26,4,0,2,38.0,30대,3,1,5,생존,8,31.3875,3.4
27,3,1,0,26.890318414731993,20대,3,0,0,사망,8,7.225,1.9
28,3,1,2,19.0,10대,1,3,2,사망,2,263.0,5.6
29,2,0,1,18.661508842697213,10대,3,0,0,생존,8,7.8792,2.0
30,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
31,6,1,0,40.0,30대,1,0,0,사망,8,27.7208,3.3
32,4,0,0,41.04561952807425,40대,1,1,0,생존,1,146.5208,5.0
33,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
34,3,1,2,66.0,60대,2,0,0,사망,8,10.5,2.3
35,3,1,0,28.0,20대,1,1,0,사망,8,82.1708,4.4
36,3,1,2,42.0,40대,1,1,0,사망,8,52.0,4.0
37,3,1,0,26.89035912960942,20대,3,0,0,생존,8,7.2292,1.9
38,3,1,2,21.0,20대,3,0,0,사망,8,8.05,2.0
39,2,0,2,18.0,10대,3,2,0,사망,8,18.0,2.8
40,2,0,0,14.0,10대,3,1,0,생존,8,11.2417,2.3
41,4,0,2,40.0,30대,3,1,0,사망,8,9.475,2.2
42,4,0,2,27.0,20대,2,1,0,사망,8,21.0,3.0
43,3,1,0,26.896821162297915,20대,3,0,0,사망,8,7.8958,2.0
44,2,0,0,3.0,0대,2,1,2,생존,8,41.5792,3.7
45,2,0,1,19.0,10대,3,0,0,생존,8,7.8792,2.0
46,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
47,3,1,1,25.634416868026417,20대,3,1,0,사망,8,15.5,2.7
48,2,0,1,18.660256375515466,10대,3,0,0,생존,8,7.75,2.0
49,3,1,0,22.739907501850457,20대,3,2,0,사망,8,21.6792,3.0
50,4,0,2,18.0,10대,3,1,0,사망,8,17.8,2.8
51,1,1,2,7.0,0대,3,4,1,사망,8,39.6875,3.6
52,3,1,2,21.0,20대,3,0,0,사망,8,7.8,2.0
53,4,0,0,49.0,40대,1,1,0,생존,3,76.7292,4.3
54,4,0,2,29.0,20대,2,1,0,생존,8,26.0,3.2
55,3,1,0,65.0,60대,1,0,1,사망,1,61.9792,4.1
56,3,1,2,40.796503410933425,40대,1,0,0,생존,2,35.5,3.5
57,2,0,2,21.0,20대,2,0,0,생존,8,10.5,2.3
58,3,1,0,28.5,20대,3,0,0,사망,8,7.2292,1.9
59,2,0,2,5.0,0대,2,1,2,생존,8,27.75,3.3
60,1,1,2,11.0,10대,3,5,2,사망,8,46.9,3.8
61,3,1,0,22.0,20대,3,0,0,사망,8,7.2292,1.9
62,2,0,2,38.0,30대,1,0,0,생존,1,80.0,4.4
63,3,1,2,45.0,40대,1,1,0,사망,2,83.475,4.4
64,1,1,2,4.0,0대,3,3,2,사망,8,27.9,3.3
65,3,1,0,37.96181245539922,30대,1,0,0,사망,8,27.7208,3.3
66,1,1,0,12.257091504247402,10대,3,1,1,생존,8,15.2458,2.7
67,4,0,2,29.0,20대,2,0,0,생존,5,10.5,2.3
68,3,1,2,19.0,10대,3,0,0,사망,8,8.1583,2.1
69,2,0,2,17.0,10대,3,4,2,생존,8,7.925,2.0
70,3,1,2,26.0,20대,3,2,0,사망,8,8.6625,2.1
71,3,1,2,32.0,30대,2,0,0,사망,8,10.5,2.3
72,2,0,2,16.0,10대,3,5,2,사망,8,46.9,3.8
73,3,1,2,21.0,20대,2,0,0,사망,8,73.5,4.3
74,3,1,0,26.0,20대,3,1,0,사망,8,14.4542,2.6
75,3,1,2,32.0,30대,3,0,0,생존,8,56.4958,4.0
76,3,1,2,25.0,20대,3,0,0,사망,5,7.65,2.0
77,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
78,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
79,1,1,2,0.83,0대,2,0,2,생존,8,29.0,3.4
80,2,0,2,30.0,20대,3,0,0,생존,8,12.475,2.5
81,3,1,2,22.0,20대,3,0,0,사망,8,9.0,2.2
82,3,1,2,29.0,20대,3,0,0,생존,8,9.5,2.2
83,2,0,1,18.66061990120676,10대,3,0,0,생존,8,7.7875,2.0
84,3,1,2,28.0,20대,1,0,0,사망,8,47.1,3.8
85,2,0,2,17.0,10대,2,0,0,생존,8,10.5,2.3
86,4,0,2,33.0,30대,3,3,0,생존,8,15.85,2.7
87,3,1,2,16.0,10대,3,1,3,사망,8,34.375,3.5
88,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
89,2,0,2,23.0,20대,1,3,2,생존,2,263.0,5.6
90,3,1,2,24.0,20대,3,0,0,사망,8,8.05,2.0
91,3,1,2,29.0,20대,3,0,0,사망,8,8.05,2.0
92,3,1,2,20.0,10대,3,0,0,사망,8,7.8542,2.0
93,3,1,2,46.0,40대,1,1,0,사망,4,61.175,4.0
94,3,1,2,26.0,20대,3,1,2,사망,8,20.575,3.0
95,3,1,2,59.0,50대,3,0,0,사망,8,7.25,1.9
96,3,1,2,28.516607075575706,20대,3,0,0,사망,8,8.05,2.0
97,3,1,0,71.0,70대,1,0,0,사망,0,34.6542,3.5
98,3,1,0,23.0,20대,1,0,1,생존,3,63.3583,4.1
99,4,0,2,34.0,30대,2,0,1,생존,8,23.0,3.1
100,3,1,2,34.0,30대,2,1,0,사망,8,26.0,3.2
101,2,0,2,28.0,20대,3,0,0,사망,8,7.8958,2.0
102,3,1,2,28.51511225793309,20대,3,0,0,사망,8,7.8958,2.0
103,3,1,2,21.0,20대,1,0,1,사망,3,77.2875,4.3
104,3,1,2,33.0,30대,3,0,0,사망,8,8.6542,2.1
105,3,1,2,37.0,30대,3,2,0,사망,8,7.925,2.0
106,3,1,2,28.0,20대,3,0,0,사망,8,7.8958,2.0
107,2,0,2,21.0,20대,3,0,0,생존,8,7.65,2.0
108,3,1,2,28.51394122050619,20대,3,0,0,생존,8,7.775,2.0
109,3,1,2,38.0,30대,3,0,0,사망,8,7.8958,2.0
110,2,0,1,16.673973180773334,10대,3,1,0,생존,8,24.15,3.1
111,3,1,2,47.0,40대,1,0,0,사망,2,52.0,4.0
112,2,0,0,14.5,10대,3,1,0,사망,8,14.4542,2.6
113,3,1,2,22.0,20대,3,0,0,사망,8,8.05,2.0
114,2,0,2,20.0,10대,3,1,0,사망,8,9.825,2.3
115,2,0,0,17.0,10대,3,0,0,사망,8,14.4583,2.6
116,3,1,2,21.0,20대,3,0,0,사망,8,7.925,2.0
117,3,1,1,70.5,70대,3,0,0,사망,8,7.75,2.0
118,3,1,2,29.0,20대,2,1,0,사망,8,21.0,3.0
119,3,1,0,24.0,20대,1,0,1,사망,1,247.5208,5.5
